column_cleaned,column_values,column_unit,column_min,column_max
Number of pointing stick buttons,,N/A,nan,nan
HDD 2 capacity,,N/A,nan,nan
CD-ROM read speed,,N/A,nan,nan
Machined aluminium design,,N/A,nan,nan
Number of Graphics & IMC Die Transistors,,N/A,nan,nan
Number of QPI links,,N/A,nan,nan
Battery capacity (tablet),,N/A,nan,nan
HD DVD-ROM read speed,,N/A,nan,nan
HD DVD-ROM write speed,,N/A,nan,nan
Charging time,,N/A,nan,nan
Hall sensor,,N/A,nan,nan
Display size (HxV) (imperial),,N/A,nan,nan
Storage drive controller,,N/A,nan,nan
ATI XGP ports quantity,,N/A,nan,nan
Included power plug types,,N/A,nan,nan
Mouse included on selected markets only,,N/A,nan,nan
Sustainability compliance,,N/A,nan,nan
Compatible products,,N/A,nan,nan
"SSD, height",,N/A,nan,nan
Diskette drive memory,,N/A,nan,nan
Maximum operating altitude,,N/A,nan,nan
Maximum storage altitude,,N/A,nan,nan
Pallets per intermodal container (20ft),,N/A,nan,nan
Keyboard,,N/A,nan,nan
Second display refresh rate,,N/A,nan,nan
Accessibility features,,N/A,nan,nan
Composite video in,,N/A,nan,nan
Master (outer) cases per intermodal container (40ft),,N/A,nan,nan
Video RAM,,N/A,nan,nan
PS/2 ports quantity,,N/A,nan,nan
Multi-bay devices,,N/A,nan,nan
Box contents,,N/A,nan,nan
Motherboard ARK ID,,N/A,nan,nan
Cache external,,N/A,nan,nan
HP Cool Control,,N/A,nan,nan
BIOS memory,,N/A,nan,nan
Video compression formats,,N/A,nan,nan
E-mail,,N/A,nan,nan
"Integrated wireless LAN, type of network I/F chip",,N/A,nan,nan
Built-in memory capacity,,N/A,nan,nan
HP Mobile Connect,,N/A,nan,nan
Resolution,,N/A,nan,nan
Intel Virtualization Technology for Connectivity (VT-c),,N/A,nan,nan
eSATA,,N/A,nan,nan
Display resolution (numeric),,N/A,nan,nan
Controller type,,N/A,nan,nan
Instant messaging (IM),,N/A,nan,nan
Minimum RAM,,N/A,nan,nan
Upgrade type,,N/A,nan,nan
Diskette drive,,N/A,nan,nan
Pouch,,N/A,nan,nan
Quantity outer carton,,N/A,nan,nan
Supported protocols,,N/A,nan,nan
Supported HDD interfaces,,N/A,nan,nan
USB 1.1 ports quantity,,N/A,nan,nan
Rear camera resolution,,N/A,nan,nan
Operating system version,,N/A,nan,nan
Supported audio standards,,N/A,nan,nan
Audio system direct sound,,N/A,nan,nan
BIOS manufacturer,,N/A,nan,nan
System management BIOS,,N/A,nan,nan
BIOS DPMS support,,N/A,nan,nan
BIOS VESA support,,N/A,nan,nan
BIOS DDC support,,N/A,nan,nan
BIOS Plug and Play support,,N/A,nan,nan
Motherboard architecture,,N/A,nan,nan
Voice control,,N/A,nan,nan
