column_cleaned,column_values,column_unit,column_min,column_max
Processor cache,"'8.0', '6.0', '12.0', '3.0', '2.0'",MB,1.0,12.0
Numeric keypad,'False',N/A,N/A,N/A
Processor manufacturer,"'Intel', 'AMD', 'Qualcomm'",N/A,N/A,N/A
Idle States,'False',N/A,N/A,N/A
Intel Trusted Execution Technology,'False',N/A,N/A,N/A
Built-in microphone,'False',N/A,N/A,N/A
CPU configuration (max),'1.0',N/A,1.0,1.0
Intel VT-x with Extended Page Tables (EPT),'False',N/A,N/A,N/A
Embedded options available,'False',N/A,N/A,N/A
Keyboard backlit,'False',N/A,N/A,N/A
Optical drive type,"'N', 'DVDÂ±RW', 'DVDÂ±R'",N/A,N/A,N/A
Memory layout (slots x size),"'1 x 4', '1 x 8', '2 x 8', '2 x 4'",N/A,N/A,N/A
Internal memory,"'8.0', '16.0', '4.0', '32.0', '2.0'",GB,2.0,32.0
Native aspect ratio,"'3:02', '16:09', '16:10'",N/A,N/A,N/A
HD type,"'HD', 'Full HD', 'HD+', 'Quad HD', 'WQXGA'",N/A,N/A,N/A
Storage media,"'SSD', 'HDD', 'eMMC', 'Hybrid-HDD', 'Flash'",N/A,N/A,N/A
Bluetooth version,"'5.0', '4.1', '5.1', '4.0', '5.2'",N/A,4.0,5.2
Number of battery cells,"'4.0', '6.0', '3.0', '2.0'",N/A,2.0,6.0
Front camera,'False',N/A,N/A,N/A
Ethernet LAN,'False',N/A,N/A,N/A
Product type,"'Notebook', 'Hybrid (2-in-1)', 'Chromebook'",N/A,N/A,N/A
Height,"'14.5', '15.69', '22.9', '14.7', '24.9'",mm,11.176,202.3
Antenna type,"'2x2', '1x1'",N/A,N/A,N/A
Display resolution,"'2256 x 1504', '1536 x 1024', '1366 x 768', '2496 x 1664', '1920 x 1080'",pixels,N/A,N/A
Width,"'278.18', '308.0', '380.0', '339.5', '305.0'",mm,224.8,418.0
Depth,"'223.0', '205.67', '262.0', '224.0', '292.6'",mm,16.7,323.9
Speaker power,"'1.5', '2.0', '4.0', '5.0', '1.2'",W,1.2,10.0
Intel Stable Image Platform Program (SIPP),'False',N/A,N/A,N/A
Product colour,"'Black', 'Platinum', 'Blue', 'Sand', 'Silver'",N/A,N/A,N/A
Discrete graphics adapter memory,"'2.0', '4.0'",GB,2.0,4.0
Number of built-in speakers,"'2.0', '1.0', '4.0'",N/A,1.0,4.0
Intel Virtualization Technology for Directed I/O (VT-d),'False',N/A,N/A,N/A
Intel Software Guard Extensions (Intel SGX),'False',N/A,N/A,N/A
Configurable TDP-down,"'12.0', '13.0', '7.5', '10.0', '28.0'",W,7.5,28.0
Processor cache type,"'Smart Cache', 'L3', 'L2', 'L2 & L3'",N/A,N/A,N/A
Configurable TDP-down frequency,"'0.7', '1.2', '0.8', '1.1', '0.9'",GHz,0.7,2.6
Configurable TDP-up frequency,"'1.2', '3.0', '2.6', '2.4', '2.7'",GHz,1.2,3.1
Configurable TDP-up,"'28.0', '25.0', '35.0'",W,25.0,35.0
Intel Virtualization Technology (VT-x),'False',N/A,N/A,N/A
Bluetooth,'False',N/A,N/A,N/A
Processor family,"'Intel Core i5', 'Intel Core i7', 'Intel Core i3', 'AMD Ryzen 7', 'AMD Ryzen 5'",N/A,N/A,N/A
USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity,"'1.0', '2.0'",N/A,1.0,2.0
Mobile network connection,'False',N/A,N/A,N/A
Top Wi-Fi standard,"'Wi-Fi 6 (802.11ax)', 'Wi-Fi 5 (802.11ac)', 'Wi-Fi 6E (802.11ax)', 'Wi-Fi 4 (802.11n)'",N/A,N/A,N/A
WLAN controller model,'Intel Wi-Fi 6 AX201',N/A,N/A,N/A
Processor ARK ID,"'196603.0', '91157.0', '95443.0', '88193.0', '95598.0'",N/A,65697.0,196603.0
Discrete graphics adapter,'False',N/A,N/A,N/A
Video capturing speed,'30.0',fps,30.0,30.0
Memory clock speed,"'3733.0', '2133.0', '2400.0', '1600.0', '3200.0'",MHz,1600.0,4266.0
USB Type-C DisplayPort Alternate Mode,'False',N/A,N/A,N/A
Operating system installed,"'Windows 10 Pro', 'Windows 10 Home', 'Windows 10 Home S', 'FreeDOS', 'N'",N/A,N/A,N/A
Total storage capacity,"'256', '512', '128', '500', '1000'",GB,32,1000
Card reader integrated,'False',N/A,N/A,N/A
Front camera HD type,"'HD', 'Full HD'",N/A,N/A,N/A
HDMI ports quantity,'1.0',N/A,1.0,1.0
Keyboard backlit colour,'White',N/A,N/A,N/A
Total SSDs capacity,"'512.0', '256.0', '128.0', '1000.0', '64.0'",GB,64.0,1000.0
NVIDIA Max-Q,,N/A,nan,nan
WLAN controller manufacturer,'Intel',N/A,N/A,N/A
USB4 Gen 2x2 ports quantity,'1.0',N/A,1.0,1.0
Internal memory type,"'LPDDR4x-SDRAM', 'DDR4-SDRAM', 'DDR3L-SDRAM', 'LPDDR4-SDRAM', 'DDR3-SDRAM'",N/A,N/A,N/A
Wi-Fi standards,"'Wi-Fi 6 (802.11ax)', '802.11a', 'Wi-Fi 5 (802.11ac)', '802.11b', 'Wi-Fi 4 (802.11n)'",N/A,N/A,N/A
Battery technology,"'Lithium-Ion (Li-Ion)', 'Lithium Polymer (LiPo)'",N/A,N/A,N/A
Pointing device,"'Touchpad', 'Trackpad', 'Clickpad', 'ThinkPad UltraNav'",N/A,N/A,N/A
Processor model,"'i5-1035G1', 'i7-1185G7', 'i5-1145G7', '4980U', 'i3-6006U'",N/A,N/A,N/A
Touchscreen,'False',N/A,N/A,N/A
SSD interface,"'NVMe', 'SATA III', 'M.2'",N/A,N/A,N/A
SSD capacity,"'256.0', '512.0', '128.0', '1000.0', '64.0'",GB,64.0,1000.0
Processor cores,"'4.0', '2.0', '8.0', '6.0', '5.0'",N/A,2.0,8.0
CUDA,,N/A,nan,nan
Memory slots,"'1x SO-DIMM', '2x SO-DIMM'",N/A,N/A,N/A
Compatible memory cards,"'MMC', 'MicroSD (TransFlash)'",N/A,N/A,N/A
Maximum refresh rate,,N/A,nan,nan
Number of SSDs installed,'1.0',N/A,1.0,1.0
Memory form factor,"'On-board', 'On-board + SO-DIMM', 'SO-DIMM'",N/A,N/A,N/A
Form factor,"'Clamshell', 'Convertible (Folder)', 'Convertible (Floating Slider)'",N/A,N/A,N/A
Processor boost frequency,"'3.6', '4.8', '4.4', '4.2', '4.0'",GHz,2.2,4.9
Battery capacity (Watt-hours),"'47.4', '40.98', '32.0', '49.4', '39.0'",Wh,24.0,80.0
On-board graphics adapter model,"'Intel Iris Xe Graphics', 'Intel UHD Graphics', 'AMD Radeon Graphics', 'Intel HD Graphics 520', 'Intel HD Graphics 620'",N/A,N/A,N/A
Discrete graphics adapter model,"'Not available', 'AMD Radeon R5 M430', 'AMD Radeon 530', 'NVIDIA GeForce GTX 1650 Ti', 'NVIDIA GeForce MX330'",N/A,N/A,N/A
Discrete graphics memory type,"'GDDR6', 'GDDR5'",N/A,N/A,N/A
AC adapter power,"'65.0', '39.0', '45.0', '25.0', '30.0'",W,25.0,95.0
Weight,"'1110.0', '1900.0', '1542.0', '1265.0', '1288.0'",g,870.0,2790.0
Display diagonal,"'13.5', '12.45', '15.6', '15.0', '17.3'","""",11.6,17.3
Combo headphone/mic port,'False',N/A,N/A,N/A
On-board graphics adapter,'False',N/A,N/A,N/A
Intel Quick Sync Video Technology,'False',N/A,N/A,N/A
Intel AES New Instructions (Intel AES-NI),'False',N/A,N/A,N/A
Execute Disable Bit,'False',N/A,N/A,N/A
Thermal Monitoring Technologies,'False',N/A,N/A,N/A
On-board graphics adapter base frequency,"'300.0', '200.0', '350.0'",MHz,200.0,350.0
On-board graphics adapter dynamic frequency (max),"'1050.0', '1000.0', '900.0', '650.0', '950.0'",MHz,650.0,1150.0
Tjunction,"'100.0', '105.0'",°C,100.0,105.0
Processor frequency,"'1.0', '2.0', '2.5', '2.1', '1.1'",GHz,1.0,3.0
Thermal Design Power (TDP),"'15.0', '6.0', '17.0'",W,6.0,17.0
Cable lock slot,'False',N/A,N/A,N/A
Front camera resolution,'1280 x 720',pixels,N/A,N/A
Cable lock slot type,'Kensington',N/A,N/A,N/A
Keyboard layout,"'QWERTY', 'QWERTZ', 'AZERTY'",N/A,N/A,N/A
Maximum internal memory,"'8.0', '16.0', '4.0', '32.0', '12.0'",GB,4.0,32.0
Intel TSX-NI,'False',N/A,N/A,N/A
Intel Secure Key,'False',N/A,N/A,N/A
Panel type,"'AMOLED', 'IPS', 'QLED', 'PLS', 'TN'",N/A,N/A,N/A
Intel 64,'False',N/A,N/A,N/A
Processor lithography,"'10.0', '14.0', '22.0', '28.0', '32.0'",nm,10.0,32.0
Display surface,"'Matt', 'Gloss'",N/A,N/A,N/A
Battery life (max),"'13.0', '17.0', '16.5', '5.5', '19.0'",h,4.0,21.0
Intel OS Guard,'False',N/A,N/A,N/A
On-board graphics adapter ID,"'0x8A56', '1916', '0x5916', '0x5A85', '0x5A84'",N/A,N/A,N/A
SSD form factor,"'M.2', '2.5""'",N/A,N/A,N/A
On-board graphics adapter DirectX version,'12.0',N/A,12.0,12.0
On-board graphics adapter OpenGL version,"'4.5', '4.4'",N/A,4.4,4.5
Processor package size,"'50 x 25', '42 x 24', '24 x 31', '42 X 24', '31 x 24 (BGA1023)'",mm,N/A,N/A
USB 3.2 Gen 1 (3.1 Gen 1) Type-C ports quantity,"'1.0', '2.0'",N/A,1.0,2.0
USB 2.0 ports quantity,"'1.0', '2.0'",N/A,1.0,2.0
Ethernet LAN (RJ-45) ports,'1.0',N/A,1.0,1.0
Headphone outputs,"'1.0', '10.0'",N/A,1.0,10.0
Processor socket,"'BGA 1526', 'BGA 1356', 'BGA 1296', 'LGA 1356 (Socket B2)', 'Socket FP4'",N/A,N/A,N/A
Bundled software,"'McAfee Security Center', 'Link Sharing\nLive Message\nLive Wallpaper\nScreen Recorder\nSamsung Gallery\nQuick Search\nSamsung DeX\nSamsung Flow\nSamsung Notes\nSamsung Recovery\nSamsung Settings\nStudio Plus\nSamsung Update'",N/A,N/A,N/A
On-board graphics adapter family,"'Intel UHD Graphics', 'Intel Iris Xe', 'Intel HD Graphics', 'AMD Radeon', 'Intel Iris Xe Graphics'",N/A,N/A,N/A
Supported instruction sets,"'AVX 2.0', 'SSE4.1', 'AVX'",N/A,N/A,N/A
Fingerprint reader,'False',N/A,N/A,N/A
Ethernet LAN data rates,'10.0',N/A,10.0,10.0
Trial software,"'Office Trial', 'McAfee LiveSafe, Microsoft Office', 'McAfee LiveSafe', 'Microsoft 365', 'Microsoft 365 Family'",N/A,N/A,N/A
LED backlight,'False',N/A,N/A,N/A
System bus rate,"'4.0', '5.0'",GT/s,4.0,5.0
Number of microphones,"'2.0', '1.0', '4.0'",N/A,1.0,4.0
Processor threads,"'8.0', '4.0', '2.0'",N/A,2.0,8.0
Operating system architecture,'64-bit',N/A,N/A,N/A
PCI Express slots version,"'3.0', '2.0'",N/A,2.0,3.0
Processor operating modes,'64-bit',N/A,N/A,N/A
Keyboard language,"'German', 'Swiss', 'International EER', 'English', 'Italian'",N/A,N/A,N/A
Battery capacity,"'5403.0', '6513.0', '4405.0', '4081.0', '5070.0'",mAh,4081.0,6513.0
Intel Hyper Threading Technology (Intel HT Technology),'False',N/A,N/A,N/A
Intel Turbo Boost Technology,"'2', 'N'",N/A,N/A,N/A
Intel InTru 3D Technology,'False',N/A,N/A,N/A
Intel Wireless Display (Intel WiDi),'False',N/A,N/A,N/A
Intel Clear Video HD Technology (Intel CVT HD),'False',N/A,N/A,N/A
Intel Flex Memory Access,'False',N/A,N/A,N/A
Enhanced Intel SpeedStep Technology,'False',N/A,N/A,N/A
Intel Enhanced Halt State,'False',N/A,N/A,N/A
Intel Clear Video Technology for Mobile Internet Devices (Intel CVT for MID),'False',N/A,N/A,N/A
Bus type,"'OPI', 'QPI', 'DMI'",N/A,N/A,N/A
PCI Express configurations,"'1x2+2x1', '1x4', '1x2', '1x16'",N/A,N/A,N/A
Intel Small Business Advantage (Intel SBA),'False',N/A,N/A,N/A
AC adapter included,'False',N/A,N/A,N/A
Password protection,'False',N/A,N/A,N/A
Processor codename,"'Skylake', 'Kaby Lake', 'Apollo Lake', 'Ivy Bridge', 'Comet Lake'",N/A,N/A,N/A
Maximum number of PCI Express lanes,"'12.0', '6.0', '10.0', '16.0'",N/A,6.0,16.0
Intel Clear Video Technology,'False',N/A,N/A,N/A
Intel Identity Protection Technology version,'1.0',N/A,1.0,1.0
Intel Secure Key Technology version,'1.0',N/A,1.0,1.0
Intel Small Business Advantage (SBA) version,"'1.0', '0.0'",N/A,0.0,1.0
Intel Smart Response Technology version,"'1.0', '0.0'",N/A,0.0,1.0
Processor series,"'Intel Core i3-6000 Mobile Processor Series', 'Intel Core i5-6200 series', 'Intel Celeron N3000 series', 'Intel Pentium Processor N4000 Series for Mobile', 'Intel Core i3-6100 series'",N/A,N/A,N/A
Intel Stable Image Platform Program (SIPP) version,'0.0',N/A,0.0,0.0
Intel TSX-NI version,"'0.0', '1.0'",N/A,0.0,1.0
ECC supported by processor,'False',N/A,N/A,N/A
Maximum on-board graphics adapter memory,"'32.0', '8.0', '1.74'",GB,1.74,32.0
Conflict-Free processor,'False',N/A,N/A,N/A
DVI port,'False',N/A,N/A,N/A
VGA (D-Sub) ports quantity,'1.0',N/A,1.0,1.0
Wi-Fi,'False',N/A,N/A,N/A
Stepping,"'D1', 'H0', 'L1', 'P0', 'J1'",N/A,N/A,N/A
Number of HDDs installed,'1.0',N/A,1.0,1.0
Charging port type,"'Surface Connect', 'DC-in jack', 'USB Type-C'",N/A,N/A,N/A
Manual,'False',N/A,N/A,N/A
Power cord included,'False',N/A,N/A,N/A
Audio system,"'Dolby Atmos', 'Dolby Audio Premium', 'Dolby Audio', 'SoundAlive'",N/A,N/A,N/A
Processor code,"'SSSR2UW', 'SR2ZU', 'SR2EY', 'SR2ZV', 'SR2EU'",N/A,N/A,N/A
Password protection type,"'HDD', 'BIOS', 'User'",N/A,N/A,N/A
HDD capacity,"'500.0', '1000.0', '320.0'",GB,320.0,1000.0
Full-size keyboard,'False',N/A,N/A,N/A
AC adapter input voltage,'100 - 240',V,N/A,N/A
AC adapter frequency,"'50 - 60', '50/60', '50 / 60'",Hz,N/A,N/A
AC adapter output voltage,'15.0',V,15.0,15.0
AC adapter output current,,N/A,nan,nan
Intel My WiFi Technology (Intel MWT),'False',N/A,N/A,N/A
Intel Identity Protection Technology (Intel IPT),'False',N/A,N/A,N/A
Intel Smart Response Technology,'False',N/A,N/A,N/A
Windows keys,'False',N/A,N/A,N/A
USB Sleep-and-Charge,'False',N/A,N/A,N/A
USB Sleep-and-Charge ports,'1.0',N/A,1.0,1.0
Auto focus,,N/A,nan,nan
4G standard,'LTE',N/A,N/A,N/A
LightScribe,'False',N/A,N/A,N/A
USB 3.2 Gen 2 (3.1 Gen 2) Type-C ports quantity,'1.0',N/A,1.0,1.0
Front camera signal format,,N/A,nan,nan
Built-in subwoofer,'False',N/A,N/A,N/A
Contrast ratio (typical),"'1500:01:00', '1000:01:00', '500:01:00'",N/A,N/A,N/A
Trusted Platform Module (TPM),'False',N/A,N/A,N/A
Mobile network generation,,N/A,nan,nan
Docking connector,'False',N/A,N/A,N/A
Sustainability certificates,"'RoHS', 'EPEAT Gold', 'EPEAT Silver', 'ENERGY STAR'",N/A,N/A,N/A
Fast charging,'False',N/A,N/A,N/A
HDMI version,"'1.4b', '2', '1.4'",N/A,N/A,N/A
SIM card support,,N/A,nan,nan
WWAN,'False',N/A,N/A,N/A
3D,'False',N/A,N/A,N/A
Maximum internal memory (64-bit),"'16.0', '8.0'",GB,8.0,16.0
Spill-resistant keyboard,'False',N/A,N/A,N/A
Intel FDI Technology,'False',N/A,N/A,N/A
Intel Insider,'False',N/A,N/A,N/A
Intel Smart Cache,'False',N/A,N/A,N/A
Microphone in,'False',N/A,N/A,N/A
S/PDIF out port,'False',N/A,N/A,N/A
Motherboard chipset,"'Intel SoC', 'Intel HM77 Express'",N/A,N/A,N/A
Height (front),"'9.9', '11.8', '16.9'",mm,9.9,16.9
Height (rear),"'14.5', '6.2', '19.1'",mm,6.2,19.1
Mini DisplayPorts quantity,,N/A,nan,nan
Market positioning,"'Business', 'Consumer', 'Work'",N/A,N/A,N/A
Intel Anti-Theft Technology (Intel AT),'False',N/A,N/A,N/A
Anti-glare screen,'False',N/A,N/A,N/A
Operating temperature (T-T),'May-35',°C,N/A,N/A
Front camera resolution (numeric),"'0.92', '0.3', '1.0'",MP,0.3,1.0
Pixel density,"'201.0', '148.0'",ppi,148.0,201.0
Storage relative humidity (H-H),'May-95',%,N/A,N/A
Battery recharge time,'11.0',h,11.0,11.0
Operating shock,,N/A,nan,nan
Operating system language,"'BUL', 'ENG', 'ARA', 'DEU', 'ESP'",N/A,N/A,N/A
Removable battery,'False',N/A,N/A,N/A
Cables included,"'AC', 'USB Type-C'",N/A,N/A,N/A
Operating vibration,,N/A,nan,nan
USB Power Delivery,'False',N/A,N/A,N/A
Privacy camera,'False',N/A,N/A,N/A
Privacy type,'Privacy shutter',N/A,N/A,N/A
USB 3.2 Gen 2x2 Type-C ports quantity,,N/A,nan,nan
Battery charge indicator,'False',N/A,N/A,N/A
Windows 11 free upgrade,'False',N/A,N/A,N/A
Battery weight,"'185.0', '204.0', '168.0', '220.0'",g,168.0,220.0
Battery voltage,,N/A,nan,nan
Housing material,"'Aluminium', 'Acrylonitrile butadiene styrene (ABS)', 'Metal', 'Plastic', 'Carbon fibre'",N/A,N/A,N/A
Operating relative humidity (H-H),'Aug-95',%,N/A,N/A
Storage temperature (T-T),"'May-43', '-80.0'",°C,N/A,N/A
Intel QuickPath Interconnect,,N/A,nan,nan
Intel Virtualization Technology (Intel VT),,N/A,nan,nan
Intel Active Management Technology (Intel AMT),'False',N/A,N/A,N/A
Intel Matrix Storage Technology (Intel MST),'False',N/A,N/A,N/A
Intel Demand Based Switching,'False',N/A,N/A,N/A
Intel High Definition Audio (Intel HD Audio),'False',N/A,N/A,N/A
Recovery operating system,,N/A,nan,nan
Number of discrete graphics adapters installed,'1.0',N/A,1.0,1.0
HDD size,'2.5',N/A,2.5,2.5
CardBus PCMCIA slot type,'N',N/A,N/A,N/A
SmartCard slot,'False',N/A,N/A,N/A
Bluetooth Low Energy (BLE),,N/A,nan,nan
Intel Rapid Start Technology,'False',N/A,N/A,N/A
Intel Smart Connect Technology,'False',N/A,N/A,N/A
HDD interface,"'SATA III', 'SATA'",N/A,N/A,N/A
Trusted Platform Module (TPM) version,'2.0',N/A,2.0,2.0
Display brightness,"'220.0', '200.0', '300.0', '370.0', '600.0'",cd/m²,200.0,600.0
Colour gamut,"'120.0', '100.0', '45.0'",%,45.0,120.0
Colour name,"'Platinum', 'Matte Black', 'Sandstone', 'Ice Blue', 'Mystic Navy'",N/A,N/A,N/A
Certification,"'CEC', 'EPEAT', 'ErP lot3', 'ENERGY STAR 8.0\nErP Lot 3\nRoHS compliant', 'MIL-STD-810H'",N/A,N/A,N/A
Infrared (IR) camera,'False',N/A,N/A,N/A
High Dynamic Range (HDR) technology,,N/A,nan,nan
RGB colour space,"'DCI-P3', 'sRGB'",N/A,N/A,N/A
Island-style keyboard,'False',N/A,N/A,N/A
Non-operating altitude,,N/A,nan,nan
Audio chip,"'Realtek ALC3306', 'Synaptic CX11880'",N/A,N/A,N/A
Pixel pitch,,N/A,nan,nan
Quick start guide,'False',N/A,N/A,N/A
Warranty card,'False',N/A,N/A,N/A
HDD speed,"'5400.0', '5200.0'",N/A,5200.0,5400.0
Drivers included,'False',N/A,N/A,N/A
Operating altitude,"'0 - 3048', '0 - 2438'",m,N/A,N/A
Intel Dual Display Capable Technology,'False',N/A,N/A,N/A
Intel Fast Memory Access,'False',N/A,N/A,N/A
FSB Parity,'False',N/A,N/A,N/A
Intel Rapid Storage Technology,'False',N/A,N/A,N/A
3G standards,,N/A,nan,nan
Intel Built-in Visuals Technology,'False',N/A,N/A,N/A
Intel HD Graphics,'False',N/A,N/A,N/A
eSATA ports quantity,,N/A,nan,nan
DisplayPorts quantity,,N/A,nan,nan
Graphics adapter Open GL support,'False',N/A,N/A,N/A
Keyboard number of keys,"'97.0', '79.0'",N/A,79.0,97.0
Non-operating shock,,N/A,nan,nan
Wi-Fi data rate (max),,N/A,nan,nan
Non-operating vibration,,N/A,nan,nan
Wi-Fi certified,'False',N/A,N/A,N/A
USB 3.2 Gen 2 (3.1 Gen 2) Type-A ports quantity,"'1.0', '3.0'",N/A,1.0,3.0
Power adapter barrel connector,,N/A,nan,nan
Graphics & IMC lithography,"'14.0', '22.0', '32.0'",nm,14.0,32.0
DVD-R Double Layer read speed,,N/A,nan,nan
Maximum resolution,"'3840 x 2160', '1366 x 768'",pixels,N/A,N/A
Disc types supported,,N/A,nan,nan
Integrated 4G WiMAX,'False',N/A,N/A,N/A
DVD+R write speed,,N/A,nan,nan
DVD-R write speed,,N/A,nan,nan
DVD-R Double Layer write speed,,N/A,nan,nan
DVD+R Double Layer write speed,,N/A,nan,nan
DVD+RW write speed,,N/A,nan,nan
DVD-RW write speed,,N/A,nan,nan
CD-R write speed,,N/A,nan,nan
CD-RW write speed,,N/A,nan,nan
DVD+R read speed,,N/A,nan,nan
DVD-R read speed,,N/A,nan,nan
DVD+R Double Layer read speed,,N/A,nan,nan
DVD+RW read speed,,N/A,nan,nan
DVD-RW read speed,,N/A,nan,nan
CD-R read speed,,N/A,nan,nan
CD-RW read speed,,N/A,nan,nan
DVD-RAM read speed,,N/A,nan,nan
DVD-RAM write speed,,N/A,nan,nan
ExpressCard slot,'False',N/A,N/A,N/A
Intel segment tagging,"'Home Office', 'Small Business'",N/A,N/A,N/A
Country of origin,'China',N/A,N/A,N/A
Screen shape,'Flat screen',N/A,N/A,N/A
Electronic compass,,N/A,nan,nan
Touch technology,,N/A,nan,nan
Touchscreen type,'Capacitive',N/A,N/A,N/A
Ambient light sensor,'False',N/A,N/A,N/A
Micro HDMI ports quantity,,N/A,nan,nan
CPU multiplier (bus/core ratio),"'18.0', '15.0'",N/A,15.0,18.0
Data network,,N/A,nan,nan
Cabling technology,,N/A,nan,nan
4G WiMAX,,N/A,nan,nan
Dual-screen,'False',N/A,N/A,N/A
On/off button,'False',N/A,N/A,N/A
Speakers manufacturer,"'OmniSonic', 'AKG'",N/A,N/A,N/A
Mini DisplayPort/Thunderbolt combo port,'False',N/A,N/A,N/A
Built-in speaker(s),,N/A,nan,nan
Alienware graphics amplifier port,,N/A,nan,nan
Number of processors supported,,N/A,nan,nan
Number of discrete graphics adapters,,N/A,nan,nan
Total HDDs capacity,,N/A,nan,nan
Thunderbolt technology,'False',N/A,N/A,N/A
On-board graphics adapter 4K support,'False',N/A,N/A,N/A
Intel Thunderbolt 4,'False',N/A,N/A,N/A
Thunderbolt ports quantity,,N/A,nan,nan
Number of discrete graphics adapters supported,'1.0',N/A,1.0,1.0
UART,'False',N/A,N/A,N/A
Intel ME Firmware Version,,N/A,nan,nan
Intel Smart Connect Technology version,'0.0',N/A,0.0,0.0
Total number of SATA connectors,'2.0',N/A,2.0,2.0
Number of SATA III connectors,'2.0',N/A,2.0,2.0
Display response rise/fall,,N/A,nan,nan
Pre-installed software,"'Microsoft 365', 'Link Sharing, Live Message, Live Wallpaper, McAfee Live Safe (60 Tage kostenlos), Samsung Gallerie Quick Search Samsung DeX Samsung Flow Samsung Notes Samsung Recovery Samsung Einstellungen Studio Plus Samsung Update teamPL', 'Link Sharing, Live Message, Live Wallpaper, McAfee Live Safe (60 days free), Samsung Gallery, Quick Search, Samsung DeX, Samsung Flow, Samsung Notes, Samsung Recovery, Samsung Settings, Studio Plus, Samsung Update, teamPL'",N/A,N/A,N/A
NVIDIA G-SYNC,,N/A,nan,nan
NVIDIA GameWorks VR,,N/A,nan,nan
CUDA cores,,N/A,nan,nan
Miracast,'False',N/A,N/A,N/A
ECC,,N/A,nan,nan
MIMO,'False',N/A,N/A,N/A
MIMO type,,N/A,nan,nan
HP Audio Boost,,N/A,nan,nan
HP Smart AC Adapter,,N/A,nan,nan
HP Imagepad,,N/A,nan,nan
HP front camera,,N/A,nan,nan
Fast charging time (50%),,N/A,nan,nan
HP speaker type,,N/A,nan,nan
HP segment,,N/A,nan,nan
Package depth,"'56.9', '55.0', '49.0', '260.09', '49.02'",mm,49.0,499.0
Package height,"'357.89', '395.0', '357.9', '41.91', '309.63'",mm,40.89,395.0
Package width,"'265.94', '291.0', '265.9', '445.0', '235.46'",mm,230.0,489.96
Discrete GPU manufacturer,"'NVIDIA', 'Intel'",N/A,N/A,N/A
Display diagonal (metric),"'34.3', '38.1', '39.6', '33.8', '35.56'",cm,33.8,39.6
Package weight,"'1901.0', '2600.0', '1905.0', '1791.68', '2000.0'",g,1245.0,2830.0
Accelerometer,'False',N/A,N/A,N/A
Scenario Design Power (SDP),"'4.0', '4.8'",W,4.0,4.8
On-board graphics adapter burst frequency,"'650.0', '750.0'",MHz,650.0,750.0
Flash memory,"'8.0', '64.0'",GB,8.0,64.0
2G standards,,N/A,nan,nan
Near Field Communication (NFC),'False',N/A,N/A,N/A
Smart card reader,'False',N/A,N/A,N/A
Windows Hello,'False',N/A,N/A,N/A
MIL-STD-810G compliant,,N/A,nan,nan
Headphone connectivity,,N/A,nan,nan
Thunderbolt 3 ports quantity,"'2.0', '1.0'",N/A,1.0,2.0
Continuous video playback time,,N/A,nan,nan
HP JumpStart,,N/A,nan,nan
HP Audio Switch,,N/A,nan,nan
HP CoolSense,,N/A,nan,nan
HP Orbit,,N/A,nan,nan
Fast charging time (90%),'60.0',min,60.0,60.0
HP Sure Connect,,N/A,nan,nan
USB4 Gen 3x2 ports quantity,'1.0',N/A,1.0,1.0
Images Type Map,,N/A,nan,nan
Refurbished,'False',N/A,N/A,N/A
Power auto-sensing,,N/A,nan,nan
Hybrid-HDD cache type,'SSD',N/A,N/A,N/A
Hybrid-HDD capacity,'500.0',GB,500.0,500.0
Hybrid-HDD cache memory,,N/A,nan,nan
Power adapter height,,N/A,nan,nan
Power adapter depth,,N/A,nan,nan
Power adapter width,,N/A,nan,nan
Microphone connectivity,,N/A,nan,nan
eSATA/USB 2.0 ports quantity,,N/A,nan,nan
Layers per pallet,,N/A,nan,nan
Pallet gross weight,,N/A,nan,nan
Thunderbolt 3 Technology,,N/A,nan,nan
Package material,,N/A,nan,nan
Pallet gross width,,N/A,nan,nan
Pallet gross length,,N/A,nan,nan
Products per intermodal container (20ft),,N/A,nan,nan
Products per intermodal container (40ft),,N/A,nan,nan
Products per pallet layer,,N/A,nan,nan
Pallet volume weight,,N/A,nan,nan
Display bezel technology,,N/A,nan,nan
Low-density polyethylene (LDPE) content per package,,N/A,nan,nan
Corrugated cardboard content per box for accessories,,N/A,nan,nan
Corrugated cardboard content per shipping (inner) case,,N/A,nan,nan
Corrugated cardboard content per package,,N/A,nan,nan
Grey board content per package,,N/A,nan,nan
EPEAT rating,,N/A,nan,nan
Package volume weight,,N/A,nan,nan
Products per pallet,,N/A,nan,nan
Face recognition,'False',N/A,N/A,N/A
Rear camera,,N/A,nan,nan
Display glass type,,N/A,nan,nan
Gyroscope,'False',N/A,N/A,N/A
Virtual Reality (VR) ready,'False',N/A,N/A,N/A
Start-up time,,N/A,nan,nan
Maximum shipping altitude,'3048.0',m,3048.0,3048.0
PowerShare,,N/A,nan,nan
Number of USB ports with PowerShare support,,N/A,nan,nan
Intel vPro Platform Eligibility,,N/A,nan,nan
Line-in,'False',N/A,N/A,N/A
Intel Smart Idle Technology,'False',N/A,N/A,N/A
Intel Secure Boot,'False',N/A,N/A,N/A
Intel Secure Boot Technology version,'1.0',N/A,1.0,1.0
Processor front side bus,,N/A,nan,nan
Number of Processing Die Transistors,,N/A,nan,nan
